typeId	buyWeightedAverage	buyMax	buyMin	buyStddev	buyMedian	buyVolume	buyOrderCount	buyPercentile	sellWeightedAverage	sellMax	sellMin	sellStddev	sellMedian	sellVolume	sellOrderCount	sellPercentile
190	36.14288995	43.19 ISK	33.01 ISK	3.94 ISK	42.00 ISK	1074567	11	43.13 ISK	113.19 ISK	9,939.00 ISK	54.97 ISK	1,449.51 ISK	99.50 ISK	1912399	46	54.99 ISK
191	60.16691981	70.00 ISK	60.05 ISK	4.95 ISK	60.13 ISK	8348093	6	61.61 ISK	146.38 ISK	226.80 ISK	98.97 ISK	31.01 ISK	104.40 ISK	6954171	24	102.21 ISK
192	69.96616762	73.00 ISK	59.99 ISK	5.61 ISK	65.31 ISK	7609617	7	73.00 ISK	98.70 ISK	100.00 ISK	92.94 ISK	2.01 ISK	93.86 ISK	5480036	13	92.96 ISK
193	49.12495162	62.09 ISK	1.00 ISK	24.85 ISK	60.79 ISK	9239653	16	62.08 ISK	161.09 ISK	227.00 ISK	130.00 ISK	18.38 ISK	154.15 ISK	7258545	32	138.40 ISK
194	33.59353635	34.00 ISK	33.33 ISK	0.35 ISK	33.50 ISK	2857447	3	34.00 ISK	56.16 ISK	248.20 ISK	39.80 ISK	71.82 ISK	42.35 ISK	8186367	8	39.90 ISK
195	15.81692607	21.16 ISK	15.02 ISK	2.82 ISK	16.16 ISK	13958555	12	21.16 ISK	73.74 ISK	189,600.00 ISK	38.96 ISK	62,774.54 ISK	49.00 ISK	105136	9	38.98 ISK
196	53.3415074	76.00 ISK	28.06 ISK	17.19 ISK	50.03 ISK	1290843	9	73.02 ISK	156.18 ISK	189,900.00 ISK	149.00 ISK	84,848.39 ISK	194.00 ISK	214500	5	149.97 ISK
197	123.257694	170.40 ISK	1.00 ISK	53.99 ISK	161.40 ISK	8195181	19	170.39 ISK	432.45 ISK	189,900.00 ISK	190.30 ISK	32,023.23 ISK	269.00 ISK	855537	35	201.16 ISK
198	96.99059307	170.00 ISK	77.04 ISK	43.55 ISK	151.00 ISK	1165017	6	170.00 ISK	314.84 ISK	499.60 ISK	279.00 ISK	57.00 ISK	295.40 ISK	956192	27	279.12 ISK
199	130.4649353	133.70 ISK	123.91 ISK	3.93 ISK	131.65 ISK	7077808	11	133.51 ISK	233.95 ISK	270.54 ISK	194.54 ISK	20.51 ISK	230.99 ISK	1889538	19	218.37 ISK
200	186.5853742	192.00 ISK	185.90 ISK	3.11 ISK	190.00 ISK	2102175	5	190.80 ISK	249.11 ISK	482.00 ISK	213.50 ISK	61.94 ISK	242.60 ISK	3908064	33	213.75 ISK
201	191.6106475	226.68 ISK	19.17 ISK	78.89 ISK	195.95 ISK	7172800	11	226.68 ISK	342.36 ISK	367.16 ISK	338.92 ISK	13.73 ISK	339.61 ISK	761385	11	338.92 ISK
202	196.4192868	271.30 ISK	6.20 ISK	90.78 ISK	156.00 ISK	1546666	9	271.30 ISK	477.44 ISK	330,000.00 ISK	308.80 ISK	49,679.54 ISK	354.30 ISK	5019131	44	309.14 ISK
203	190.6365729	199.40 ISK	55.00 ISK	43.61 ISK	185.60 ISK	2954163	14	199.32 ISK	311.69 ISK	2,265.00 ISK	222.40 ISK	306.98 ISK	273.70 ISK	8717076	43	223.20 ISK
204	215.2630001	227.50 ISK	0.02 ISK	73.25 ISK	226.50 ISK	3499081	13	227.50 ISK	279.46 ISK	700.00 ISK	227.70 ISK	86.57 ISK	311.70 ISK	1599241	28	238.29 ISK
205	158.964599	178.00 ISK	95.00 ISK	29.45 ISK	172.10 ISK	6556213	25	178.00 ISK	372.41 ISK	599.90 ISK	316.80 ISK	77.94 ISK	377.00 ISK	2249827	41	316.84 ISK
206	79.4923947	102.70 ISK	19.12 ISK	34.35 ISK	36.65 ISK	13478906	11	102.62 ISK	224.00 ISK	350.00 ISK	113.40 ISK	71.09 ISK	114.95 ISK	3691733	20	113.60 ISK
207	48.97825115	71.20 ISK	33.75 ISK	17.46 ISK	69.03 ISK	13237815	18	71.17 ISK	129.66 ISK	397.79 ISK	77.84 ISK	50.57 ISK	94.44 ISK	16644149	59	77.95 ISK
208	37.44569293	49.38 ISK	0.99 ISK	19.20 ISK	43.01 ISK	18760679	16	49.38 ISK	94.57 ISK	61,904.66 ISK	68.78 ISK	9,319.03 ISK	97.14 ISK	14915990	46	68.91 ISK
209	39.36258355	60.00 ISK	2.07 ISK	23.38 ISK	42.39 ISK	17413205	11	57.20 ISK	72.61 ISK	131.40 ISK	64.34 ISK	14.51 ISK	66.25 ISK	41105409	51	64.38 ISK
210	14.16736961	15.61 ISK	0.32 ISK	4.70 ISK	14.76 ISK	28161939	14	15.60 ISK	22.43 ISK	45.47 ISK	16.69 ISK	7.13 ISK	19.78 ISK	21181809	33	17.53 ISK
211	12.92519944	13.10 ISK	11.45 ISK	0.59 ISK	13.00 ISK	20613632	8	13.10 ISK	17.91 ISK	183,046.03 ISK	15.23 ISK	32,354.70 ISK	22.88 ISK	13521792	33	15.24 ISK
212	15.8430146	17.47 ISK	6.74 ISK	3.48 ISK	16.85 ISK	17478796	13	17.33 ISK	25.67 ISK	172,531.70 ISK	20.10 ISK	39,575.73 ISK	26.61 ISK	5012826	20	20.11 ISK
213	14.28478499	17.12 ISK	8.41 ISK	3.76 ISK	17.06 ISK	5278504	11	17.11 ISK	47.94 ISK	95.25 ISK	34.24 ISK	13.73 ISK	40.72 ISK	3349718	18	34.24 ISK
215	3.849681269	4.40 ISK	3.03 ISK	0.41 ISK	3.93 ISK	26896316	13	4.40 ISK	8.09 ISK	50.39 ISK	6.85 ISK	11.37 ISK	8.42 ISK	7507104	24	6.87 ISK
216	4.560718195	4.72 ISK	3.20 ISK	0.58 ISK	4.62 ISK	5456219	9	4.72 ISK	9.30 ISK	12.46 ISK	7.53 ISK	1.62 ISK	8.30 ISK	5043071	22	7.54 ISK
217	9.428996866	10.85 ISK	4.02 ISK	2.62 ISK	10.15 ISK	8288187	15	10.85 ISK	15.96 ISK	19.00 ISK	13.84 ISK	1.64 ISK	15.44 ISK	10826680	27	14.59 ISK
218	6.825620907	6.86 ISK	5.95 ISK	0.35 ISK	6.68 ISK	8531836	9	6.86 ISK	14.35 ISK	939.63 ISK	9.44 ISK	212.75 ISK	12.96 ISK	58405558	20	9.46 ISK
219	7.376594935	9.30 ISK	0.98 ISK	2.82 ISK	8.70 ISK	6268449	14	9.23 ISK	25.90 ISK	27.93 ISK	18.63 ISK	3.99 ISK	26.71 ISK	4424442	36	18.69 ISK
220	8.54372003	9.01 ISK	1.75 ISK	3.52 ISK	8.63 ISK	2057082	4	9.01 ISK	34.44 ISK	189,502.29 ISK	19.00 ISK	31,572.19 ISK	26.75 ISK	7470667	37	19.02 ISK
221	6.457474957	6.79 ISK	1.15 ISK	2.24 ISK	6.57 ISK	2574378	6	6.79 ISK	14.52 ISK	17.98 ISK	9.94 ISK	2.96 ISK	11.62 ISK	4956374	27	11.47 ISK
222	19.07104691	21.49 ISK	9.32 ISK	2.68 ISK	17.91 ISK	22156348	19	21.08 ISK	55.19 ISK	2,725.11 ISK	25.49 ISK	562.69 ISK	27.24 ISK	42161308	42	25.96 ISK
223	5.208061892	6.01 ISK	4.81 ISK	0.50 ISK	5.20 ISK	38086583	7	6.01 ISK	13.89 ISK	20.90 ISK	12.89 ISK	2.57 ISK	12.99 ISK	22146368	16	12.92 ISK
224	1.757616523	1.76 ISK	1.75 ISK	0.01 ISK	1.75 ISK	1187630	2	1.76 ISK	22.71 ISK	29.00 ISK	14.38 ISK	4.53 ISK	15.00 ISK	1830623	19	14.52 ISK
225	22.19833697	23.32 ISK	15.34 ISK	3.14 ISK	22.85 ISK	18051226	16	23.32 ISK	59.87 ISK	86.98 ISK	41.96 ISK	10.40 ISK	50.40 ISK	11847976	24	43.96 ISK
226	11.36501258	11.56 ISK	0.01 ISK	4.16 ISK	10.45 ISK	3136172	8	11.56 ISK	36.56 ISK	40.00 ISK	12.48 ISK	7.21 ISK	26.70 ISK	12089682	22	14.45 ISK
227	24.28901875	25.74 ISK	15.03 ISK	3.88 ISK	25.31 ISK	19052518	15	25.73 ISK	56.70 ISK	76.59 ISK	47.98 ISK	12.85 ISK	51.80 ISK	12388890	11	48.66 ISK
228	30.09445199	30.21 ISK	21.00 ISK	4.11 ISK	30.19 ISK	1992990	6	30.21 ISK	59.95 ISK	157.88 ISK	45.83 ISK	21.62 ISK	51.00 ISK	4501836	35	45.85 ISK
229	29.96451862	30.16 ISK	26.00 ISK	2.94 ISK	28.08 ISK	17265189	5	30.16 ISK	42.82 ISK	62.95 ISK	30.17 ISK	7.71 ISK	40.89 ISK	6748143	22	30.20 ISK
230	36.57479178	104.10 ISK	9.00 ISK	31.01 ISK	90.36 ISK	25516153	16	104.10 ISK	149.82 ISK	107,500.00 ISK	110.00 ISK	16,765.45 ISK	129.80 ISK	8550828	41	110.66 ISK
231	13.96520137	25.02 ISK	0.01 ISK	5.50 ISK	13.10 ISK	6499186	17	25.01 ISK	69.99 ISK	189,900.00 ISK	69.98 ISK	109,598.41 ISK	69.99 ISK	947152	3	69.99 ISK
232	22.55802559	22.69 ISK	21.04 ISK	0.61 ISK	22.61 ISK	8528057	7	22.68 ISK	37.66 ISK	42.00 ISK	35.95 ISK	2.00 ISK	36.00 ISK	3519477	10	35.97 ISK
233	33.32394115	47.01 ISK	10.03 ISK	13.94 ISK	36.19 ISK	14260740	7	47.00 ISK	119.83 ISK	127.80 ISK	119.00 ISK	3.68 ISK	119.90 ISK	564884	9	119.00 ISK
234	29.99734559	30.01 ISK	0.01 ISK	17.32 ISK	30.00 ISK	409355	3	30.00 ISK	69.33 ISK	84.97 ISK	64.96 ISK	5.58 ISK	69.92 ISK	3199222	26	64.96 ISK
235	69.94704202	75.01 ISK	45.03 ISK	17.31 ISK	75.00 ISK	351565	4	75.01 ISK	250.93 ISK	189,900.00 ISK	120.00 ISK	71,509.71 ISK	997.00 ISK	853402	7	120.00 ISK
236	42.00460415	42.02 ISK	0.01 ISK	21.00 ISK	42.01 ISK	7281424	6	42.02 ISK	129.64 ISK	14,900.00 ISK	84.97 ISK	3,585.15 ISK	109.50 ISK	2601708	17	84.99 ISK
237	42.19307091	42.24 ISK	42.15 ISK	0.04 ISK	42.22 ISK	988125	5	42.24 ISK	112.16 ISK	143.10 ISK	42.25 ISK	29.29 ISK	98.99 ISK	406300	7	98.40 ISK
238	244.0111493	253.80 ISK	232.60 ISK	10.82 ISK	245.75 ISK	5428117	10	253.80 ISK	333.67 ISK	448.80 ISK	262.90 ISK	45.69 ISK	267.55 ISK	7905801	30	263.19 ISK
239	1720.638498	1,750.00 ISK	1,499.00 ISK	107.77 ISK	1,621.00 ISK	25679	7	1,750.00 ISK	7,228.29 ISK	48,000.00 ISK	6,620.00 ISK	9,473.36 ISK	6,639.00 ISK	13594	19	6,626.83 ISK
240	804.3790806	829.20 ISK	750.00 ISK	28.42 ISK	809.15 ISK	52630	11	829.20 ISK	7,057.31 ISK	89,030.00 ISK	1,600.00 ISK	12,311.18 ISK	4,807.50 ISK	4788	50	1,667.20 ISK
241	417.4531491	422.20 ISK	401.10 ISK	8.95 ISK	415.30 ISK	21504	9	422.20 ISK	9,180.88 ISK	14,000.00 ISK	6,420.00 ISK	2,754.06 ISK	9,998.50 ISK	1984	18	6,420.43 ISK
242	2625.54918	3,310.00 ISK	2,026.00 ISK	605.98 ISK	3,150.00 ISK	4351	6	3,310.00 ISK	10,509.82 ISK	15,000.00 ISK	8,265.00 ISK	1,628.92 ISK	8,948.00 ISK	33016	37	8,273.14 ISK
243	1053.883629	1,300.00 ISK	1,032.00 ISK	137.73 ISK	1,044.00 ISK	24868	9	1,294.40 ISK	5,292.53 ISK	12,600.00 ISK	2,303.00 ISK	3,615.14 ISK	3,385.00 ISK	5876	20	3,362.87 ISK
244	459.1659752	605.10 ISK	35.01 ISK	272.74 ISK	600.45 ISK	45056	12	605.10 ISK	12,027.12 ISK	189,900,000.00 ISK	2,606.00 ISK	31,644,523.53 ISK	6,842.50 ISK	5400	36	5,763.91 ISK
245	585.0538372	612.20 ISK	413.80 ISK	76.82 ISK	592.85 ISK	10061	9	612.14 ISK	11,670.86 ISK	99,900.00 ISK	2,993.00 ISK	19,935.63 ISK	13,740.00 ISK	9767	36	2,993.00 ISK
246	7125.257103	7,388.00 ISK	2,320.00 ISK	2,522.96 ISK	7,355.00 ISK	110125	10	7,387.92 ISK	19,891.88 ISK	1,000,000.00 ISK	9,000.00 ISK	156,628.27 ISK	10,670.00 ISK	32210	45	9,130.09 ISK
247	5516.181898	5,519.21 ISK	5,509.59 ISK	4.44 ISK	5,516.05 ISK	30069	7	5,517.60 ISK	35,616.72 ISK	103,290.00 ISK	20,981.12 ISK	22,399.55 ISK	26,960.31 ISK	22192	58	22,145.96 ISK
248	2806.637034	2,815.00 ISK	2,800.00 ISK	7.23 ISK	2,809.50 ISK	10439	4	2,815.00 ISK	54,845.84 ISK	189,900,000.00 ISK	2,816.00 ISK	50,724,122.06 ISK	11,970.00 ISK	2471	14	10,335.57 ISK
249	2508.414634	2,520.00 ISK	2,501.00 ISK	13.44 ISK	2,510.50 ISK	7280	4	2,520.00 ISK	4,786.50 ISK	8,000.00 ISK	3,400.00 ISK	1,742.87 ISK	4,800.00 ISK	8429	39	3,514.47 ISK
250	6063.066138	8,001.00 ISK	5,060.00 ISK	1,565.56 ISK	5,600.00 ISK	11553	5	8,001.00 ISK	13,164.66 ISK	20,000.00 ISK	11,980.00 ISK	2,200.55 ISK	13,100.00 ISK	9959	13	12,902.52 ISK
251	0	0.00 ISK	0.00 ISK	0.00 ISK	0.00 ISK	11475	1	0.00 ISK	95,680.57 ISK	189,900,000.00 ISK	14,000.00 ISK	30,398,833.64 ISK	33,750.00 ISK	27327	39	26,368.13 ISK
252	2217.066329	2,230.00 ISK	2,100.00 ISK	45.98 ISK	2,209.00 ISK	28733	16	2,230.00 ISK	28,639.70 ISK	346,000.00 ISK	18,000.00 ISK	57,425.52 ISK	28,960.00 ISK	7972	31	18,546.60 ISK
253	3002.307662	3,007.00 ISK	3,000.00 ISK	3.79 ISK	3,006.00 ISK	4404	4	3,007.00 ISK	16,334.35 ISK	94,910.00 ISK	8,300.00 ISK	16,571.31 ISK	11,955.00 ISK	4695	30	8,597.32 ISK
254	12328.40726	12,420.00 ISK	0.01 ISK	4,360.06 ISK	12,375.00 ISK	91403	14	12,420.00 ISK	50,851.26 ISK	2,000,000.00 ISK	23,820.00 ISK	223,318.88 ISK	34,245.00 ISK	35419	78	23,843.71 ISK
255	51954.23202	65,000.00 ISK	40,040.00 ISK	11,700.66 ISK	61,520.00 ISK	13680	9	64,746.55 ISK	104,075.72 ISK	150,000.00 ISK	69,970.00 ISK	23,309.72 ISK	77,510.00 ISK	19851	31	70,945.60 ISK
256	19194.64167	35,000.00 ISK	370.30 ISK	12,053.36 ISK	22,000.00 ISK	8526	10	34,486.53 ISK	45,710.30 ISK	63,990.00 ISK	40,000.00 ISK	6,599.50 ISK	48,320.00 ISK	9726	22	40,000.00 ISK
257	10040.00348	18,000.00 ISK	422.00 ISK	6,808.34 ISK	13,015.00 ISK	8574	10	17,989.55 ISK	34,047.27 ISK	44,990.00 ISK	18,010.00 ISK	6,669.50 ISK	35,100.00 ISK	6011	20	24,703.54 ISK
258	41041.92005	41,100.00 ISK	41,020.00 ISK	40.41 ISK	41,050.00 ISK	12892	4	41,100.00 ISK	56,851.17 ISK	59,990.00 ISK	54,900.00 ISK	1,849.00 ISK	56,650.00 ISK	9323	6	54,998.28 ISK
259	18935.35664	23,999.05 ISK	16,009.81 ISK	3,457.70 ISK	20,019.43 ISK	16028	8	23,817.74 ISK	58,813.67 ISK	62,164.43 ISK	28,900.78 ISK	9,485.39 ISK	34,784.66 ISK	31397	15	31,795.35 ISK
260	42656.65201	46,500.00 ISK	39,010.00 ISK	2,716.70 ISK	45,045.00 ISK	14148	9	46,412.09 ISK	66,714.37 ISK	97,900.00 ISK	56,700.00 ISK	15,446.28 ISK	63,245.00 ISK	4272	16	56,799.53 ISK
261	37429.14732	59,000.00 ISK	5,013.00 ISK	16,673.61 ISK	45,010.00 ISK	25564	13	58,168.29 ISK	104,619.27 ISK	125,000.00 ISK	68,000.00 ISK	16,986.21 ISK	78,960.00 ISK	15913	23	68,163.17 ISK
262	80324.57313	115,000.00 ISK	42,500.00 ISK	24,605.95 ISK	90,100.00 ISK	9548	8	110,734.97 ISK	271,242.61 ISK	495,700.00 ISK	133,900.00 ISK	90,325.69 ISK	137,350.00 ISK	13571	24	134,731.43 ISK
263	173.1066403	174.00 ISK	173.00 ISK	0.71 ISK	173.50 ISK	336477	2	174.00 ISK	313.52 ISK	189,900,000.00 ISK	299.30 ISK	57,256,903.92 ISK	300.00 ISK	41344	11	299.36 ISK
264	455.8682453	516.20 ISK	20.00 ISK	170.01 ISK	493.70 ISK	376562	8	516.10 ISK	1,123.31 ISK	2,400.00 ISK	964.80 ISK	325.30 ISK	974.00 ISK	85136	21	964.97 ISK
266	1.21895253	1.36 ISK	1.08 ISK	0.12 ISK	1.32 ISK	5893439	10	1.36 ISK	10.80 ISK	11.09 ISK	10.77 ISK	0.14 ISK	10.80 ISK	1689830	10	10.78 ISK
267	161.0272682	166.00 ISK	26.08 ISK	47.87 ISK	161.65 ISK	4248599	12	166.00 ISK	258.23 ISK	2,741.00 ISK	176.90 ISK	349.08 ISK	270.00 ISK	4213495	59	180.52 ISK
269	4.735193248	8.75 ISK	0.01 ISK	4.58 ISK	1.30 ISK	1433301	5	8.75 ISK	32.63 ISK	2,535.74 ISK	13.44 ISK	668.11 ISK	31.75 ISK	3649565	15	30.26 ISK
377	8072.925122	12,110.00 ISK	1,000.00 ISK	3,793.34 ISK	10,120.00 ISK	12502	16	12,101.42 ISK	43,056.43 ISK	889,900,000.00 ISK	19,300.00 ISK	171,254,338.75 ISK	27,940.00 ISK	11328	27	19,378.20 ISK
380	134876.8657	141,400.00 ISK	51,000.00 ISK	30,328.63 ISK	128,700.00 ISK	3863	16	141,390.66 ISK	179,496.68 ISK	173,800,000.00 ISK	170,600.00 ISK	24,793,466.37 ISK	213,900.00 ISK	5694	49	170,696.38 ISK
393	16694.1382	16,786.28 ISK	15,808.15 ISK	691.64 ISK	16,297.22 ISK	9957	2	16,786.28 ISK	172,183.90 ISK	197,806.24 ISK	88,512.61 ISK	54,600.12 ISK	196,027.82 ISK	1251	14	89,046.01 ISK
394	69047.28707	80,010.00 ISK	55,040.00 ISK	10,991.46 ISK	75,115.00 ISK	1334	10	80,005.68 ISK	125,501.80 ISK	998,200.00 ISK	106,900.00 ISK	187,213.90 ISK	168,600.00 ISK	9872	29	107,295.54 ISK
399	7432.014286	14,010.00 ISK	3,517.00 ISK	5,438.22 ISK	12,000.00 ISK	1610	5	14,008.70 ISK	28,749.16 ISK	49,980.00 ISK	16,860.00 ISK	7,448.45 ISK	20,000.00 ISK	2637	19	16,869.77 ISK
400	168603.3944	211,000.00 ISK	36,000.00 ISK	67,276.76 ISK	191,350.00 ISK	1754	17	210,059.42 ISK	253,410.29 ISK	401,700.00 ISK	234,600.00 ISK	27,160.94 ISK	254,700.00 ISK	5111	49	234,852.26 ISK
405	100611.4286	100,800.00 ISK	100,600.00 ISK	141.42 ISK	100,700.00 ISK	106	3	100,800.00 ISK	82,000,000.00 ISK	82,000,000.00 ISK	82,000,000.00 ISK	0.01 ISK	82,000,000.00 ISK	2	1	82,000,000.00 ISK
421	2538076.923	2,546,000.00 ISK	2,533,000.00 ISK	5,230.41 ISK	2,538,500.00 ISK	64	10	2,546,000.00 ISK	35,332,307.69 ISK	40,020,000.00 ISK	27,880,000.00 ISK	4,534,066.10 ISK	28,010,000.00 ISK	26	8	27,880,000.00 ISK
434	50548.35756	55,180.00 ISK	40,000.00 ISK	8,761.29 ISK	40,010.00 ISK	1295	5	55,180.00 ISK	79,486.41 ISK	749,000.00 ISK	74,000.00 ISK	115,271.14 ISK	84,200.00 ISK	7384	33	74,924.27 ISK
438	1724912.441	1,812,000.00 ISK	561,900.00 ISK	405,144.87 ISK	1,789,000.00 ISK	1540	13	1,812,000.00 ISK	2,240,092.78 ISK	50,000,000.00 ISK	1,863,000.00 ISK	8,353,447.69 ISK	2,000,000.00 ISK	4031	61	1,863,990.08 ISK
439	8295.430492	9,502.00 ISK	1,650.00 ISK	1,566.58 ISK	7,556.50 ISK	15513	22	9,494.39 ISK	39,140.57 ISK	1,000,000,000.00 ISK	15,000.00 ISK	141,411,444.50 ISK	27,570.00 ISK	17209	50	20,079.10 ISK
440	2447823.723	2,609,000.00 ISK	1,211,000.00 ISK	509,612.22 ISK	2,561,000.00 ISK	792	10	2,609,000.00 ISK	3,154,723.11 ISK	50,000,000.00 ISK	2,793,000.00 ISK	11,219,531.64 ISK	2,901,500.00 ISK	2380	34	2,801,504.20 ISK
